rank,title,developer,version,price_usd,rating,votes,content_rating,category,min_installs,max_installs,updated,rank_change_day,rank_change_week,store_url
83,Slot Machines by IGG,IGG.COM,1.5.9,$0.00 ,4.76,229480,Medium Maturity,Casino,5000000,10000000,4/7/14,2,1,https://play.google.com/store/apps/details?id=com.igg.bzbee.slotsdeluxe
84,Plague Inc.,Miniclip.com,1.8.2,$0.00 ,4.58,734226,Low Maturity,Simulation,10000000,50000000,5/2/14,-6,-29,https://play.google.com/store/apps/details?id=com.miniclip.plagueinc
85,Family Farm Seaside,FunPlus,2.2.1,$0.00 ,4.21,315436,Everyone,Casual,10000000,50000000,4/1/14,1,0,https://play.google.com/store/apps/details?id=com.funplus.familyfarm
86,Slots Vacation,Scopely,1.42,$0.00 ,4.22,31450,Medium Maturity,Casino,1000000,5000000,4/25/14,-2,-10,https://play.google.com/store/apps/details?id=com.scopely.slotsvacation
87,Iron Force,Chillingo,1.5.2,$0.00 ,4.19,14542,Medium Maturity,Action,100000,500000,5/1/14,-2,-157,https://play.google.com/store/apps/details?id=com.chillingo.ironforce.android.ajagplay
88,Slot Galaxy HD Slot Machines,Tap Slots,1.4.1,$0.00 ,4.45,73436,Medium Maturity,Casino,5000000,10000000,4/6/14,2,-5,https://play.google.com/store/apps/details?id=air.com.slotgalaxy
89,Samurai Siege,Space Ape Games,Varies with device,$0.00 ,4.4,103904,Low Maturity,Strategy,1000000,5000000,5/8/14,-8,-14,https://play.google.com/store/apps/details?id=com.spaceapegames.samuraisiege
90,Galaxy Legend,tap4fun,1.3.5,$0.00 ,4.31,152724,Low Maturity,Role Playing,1000000,5000000,5/10/14,3,-1,https://play.google.com/store/apps/details?id=com.tap4fun.galaxyempire2_android
91,PaeksangArtsAwards Vote,HANAMOBILE CORP,1.8,$0.00 ,3.24,749,Everyone,Entertainment,10000,50000,5/11/14,-14,-185,https://play.google.com/store/apps/details?id=com.Hana.Mobile.PaekSangAwards2014Global
92,Monster Warlord,GAMEVIL Inc.,1.2.8,$0.00 ,4.4,227706,Medium Maturity,Adventure,10000000,50000000,4/30/14,7,27,https://play.google.com/store/apps/details?id=com.gamevil.monster.global
93,Shipwrecked: Lost Island,"Kiwi, Inc.",2.5.4,$0.00 ,4.23,156214,Everyone,Simulation,5000000,10000000,5/9/14,-13,10,https://play.google.com/store/apps/details?id=com.kiwi.shipwrecked
94,Bubble Witch Saga,King.com,3.1.6,$0.00 ,4.16,212518,Low Maturity,Casual,10000000,50000000,5/5/14,3,-6,https://play.google.com/store/apps/details?id=com.midasplayer.apps.bubblewitch
95,Bingo Fever - Free Bingo Game,TOPFUN,1.06,$0.00 ,4.07,41138,Medium Maturity,Casino,1000000,5000000,5/7/14,3,-2,https://play.google.com/store/apps/details?id=com.kakapo.bingo
96,HellFire: The Summoning,Mobage,2.2.2,$0.00 ,4.53,83125,Medium Maturity,Adventure,5000000,10000000,4/28/14,-5,24,https://play.google.com/store/apps/details?id=com.mobage.ww.a953.Fuzion_Android
97,Kingdoms at War,"A Thinking Ape, Inc.",3.05,$0.00 ,4.5,27108,Everyone,Arcade,1000000,5000000,5/8/14,2,-20,https://play.google.com/store/apps/details?id=ata.squid.kaw
98,Legend of the Cryptids,æ ªå_èä__ç__ã‚¢ãƒ—ãƒªãƒœãƒƒãƒˆ,7.2,$0.00 ,4.09,15914,Medium Maturity,Card,1000000,5000000,4/22/14,0,-29,https://play.google.com/store/apps/details?id=jp.co.applibot.legend.android
99,Pocket Knights,ZQGame Inc,1.6.2,$0.00 ,3.92,9791,Low Maturity,Arcade,500000,1000000,4/21/14,5,7,https://play.google.com/store/apps/details?id=com.D9.hero.zqgame.en.andriodgpnew
100,Dice With Buddiesâ„¢ Free,Scopely,Varies with device,$0.00 ,4.45,68048,Medium Maturity,Board,1000000,5000000,5/7/14,0,-5,https://play.google.com/store/apps/details?id=com.withbuddies.dice.free
101,DragonVale,"Backflip Studios, Inc.",2.2.5,$0.00 ,4.34,132889,Everyone,Family,5000000,10000000,4/28/14,5,33,https://play.google.com/store/apps/details?id=com.backflipstudios.android.dragonvale
102,My Singing Monsters,Big Blue Bubble,1.2.7,$0.00 ,4.43,103903,Low Maturity,Simulation,1000000,5000000,4/22/14,0,15,https://play.google.com/store/apps/details?id=com.bigbluebubble.singingmonsters.full
103,Order & Chaos Online,Gameloft,2.5.0l,$6.99 ,4.3,70795,Medium Maturity,Role Playing,100000,500000,5/7/14,-20,-66,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftMMHM
104,War of Legions,Ateam Inc.,1.2.30,$0.00 ,4.13,7183,Medium Maturity,Role Playing,100000,500000,5/6/14,0,24,https://play.google.com/store/apps/details?id=jp.co.a_tm.wol.en
105,MLB.com At Bat,"MLB Advanced Media, L.P.",Varies with device,$0.00 ,4.2,23058,Low Maturity,Sports,1000000,5000000,3/30/14,2,15,https://play.google.com/store/apps/details?id=com.bamnetworks.mobile.android.gameday.atbat
106,Despicable Me,Gameloft,1.7.2,$0.00 ,4.52,3413695,Medium Maturity,Casual,100000000,500000000,3/20/14,7,8,https://play.google.com/store/apps/details?id=com.gameloft.android.ANMP.GloftDMHM
107,LINE: Free Calls & Messages,LINE Corporation,4.3.0,$0.00 ,4.18,2991972,Medium Maturity,Communication,100000000,500000000,4/27/14,-1,-4,https://play.google.com/store/apps/details?id=jp.naver.line.android
108,Titan Slotsâ„¢,Game Mania Studios,1.8.08,$0.00 ,4.32,32985,Medium Maturity,Casino,1000000,5000000,4/11/14,-3,9,https://play.google.com/store/apps/details?id=com.casinogame.slots
109,War of Nations,"GREE, INC",1.7.6,$0.00 ,3.79,14156,Medium Maturity,Role Playing,1000000,5000000,5/7/14,0,2,https://play.google.com/store/apps/details?id=jp.gree.warofnationsbeta
110,Make It Rain: Love of Money,"Space Inch, LLC",1.2,$0.00 ,4.47,14931,Everyone,Casual,100000,500000,5/3/14,-28,,https://play.google.com/store/apps/details?id=com.SpaceInch.LoveOfMoney
111,High School Story,Pixelberry Studios,1.3.2,$0.00 ,4.12,159937,Everyone,Simulation,1000000,5000000,5/2/14,4,-1,https://play.google.com/store/apps/details?id=com.pixelberrystudios.hssandroid
112,Transformers Legends,Mobage,2.5.2.5.0,$0.00 ,4.17,85164,Low Maturity,Action,5000000,10000000,4/10/14,19,28,https://play.google.com/store/apps/details?id=com.mobage.ww.a926.Transformers_Android
113,Game of War - Fire Age,"Machine Zone, Inc.",2.6.223,$0.00 ,4.17,6820,Medium Maturity,Strategy,100000,500000,5/6/14,-45,,https://play.google.com/store/apps/details?id=com.machinezone.gow
114,Covet Fashion - The Game,Crowdstar Inc,2.12.40,$0.00 ,4.03,17670,Low Maturity,Casual,500000,1000000,5/8/14,-6,-4,https://play.google.com/store/apps/details?id=com.crowdstar.covetfashion
115,Elemental Kingdoms (CCG),Perfect World Entertainment,1.4.0,$0.00 ,3.88,22066,Medium Maturity,Card,1000000,5000000,4/20/14,3,41,https://play.google.com/store/apps/details?id=air.com.perfectworld.ek
116,Ayakashi: Ghost Guild,Crash Lab Limited,2.7.1,$0.00 ,4.41,79467,Medium Maturity,Role Playing,1000000,5000000,4/14/14,2,10,https://play.google.com/store/apps/details?id=com.zynga.zjayakashi
117,ì• ë‹ˆíŒ¡2 for Kakao,"SUNDAYTOZ, INC",1.0.14,$0.00 ,4.12,679902,Low Maturity,Puzzle,5000000,10000000,4/29/14,4,9,https://play.google.com/store/apps/details?id=com.sundaytoz.mobile.anipang2.google.kakao.service
118,Golf Starâ„¢,Com2uS,1.8.7,$0.00 ,4.43,190353,Everyone,Sports,1000000,5000000,4/24/14,3,9,https://play.google.com/store/apps/details?id=com.com2us.golfstarworldtour.normal.freefull.google.global.android.common
119,Empire:Rome Rising,Mountain Lion,1.04,$0.00 ,4.13,16785,Everyone,Strategy,500000,1000000,4/30/14,0,-25,https://play.google.com/store/apps/details?id=com.feelingtouch.dipan.slggameglobal
120,My Talking Tom,Outfit7,1.6.1,$0.00 ,4.4,2220482,Everyone,Casual,50000000,100000000,4/30/14,2,-3,https://play.google.com/store/apps/details?id=com.outfit7.mytalkingtomfree
121,ETERNITY WARRIORS 3,Glu,1.2.2,$0.00 ,4.36,287444,Medium Maturity,Action,1000000,5000000,4/17/14,-1,0,https://play.google.com/store/apps/details?id=com.glu.ewarriors3
122,Marvel Comics,Marvel Comics,3.5.1.35106,$0.00 ,4.12,18845,Low Maturity,Comics,5000000,10000000,3/7/14,1,3,https://play.google.com/store/apps/details?id=com.marvel.comics
123,The Secret SocietyÂ®,G5 Entertainment,1.8.5,$0.00 ,4.4,226477,Everyone,Adventure,1000000,5000000,3/6/14,6,-10,https://play.google.com/store/apps/details?id=com.g5e.secretsociety
124,Battle Islands,505 Games Srl,1.4,$0.00 ,3.88,28827,Medium Maturity,Strategy,500000,1000000,5/1/14,-2,36,https://play.google.com/store/apps/details?id=com.and.games505.battleislands
